Date,Pork_dpp
2001-07,8.626022964501518
2001-08,9.760378985844264
2001-09,9.099526297522479
2001-10,11.273460472211788
2001-11,10.486791447159568
2001-12,10.255735576529732
2002-01,10.400523225376855
2002-02,8.736082795083947
2002-03,9.495991020508416
2002-04,10.022466112695488
2002-05,9.703518043358603
2002-06,8.634753006493419
2002-07,9.200867359348456
2002-08,9.639119998782583
2002-09,9.563426872694006
2002-10,10.823478178422292
2002-11,10.01769427756629
2002-12,10.181349100389825
2003-01,10.283866487718555
2003-02,8.614841118460557
2003-03,9.447384708366455
2003-04,9.673244612721431
2003-05,8.980433499555492
2003-06,8.852235522976892
2003-07,9.241758652632225
2003-08,9.039674382154866
2003-09,9.770303316731432
2003-10,11.416113188466309
2003-11,10.099047343183132
2003-12,11.228622624394072
2004-01,10.281021281247446
