Date,Broilers_dpp
2021-11,8.87915610574771
2021-12,9.085525799153416
2022-01,8.996431720971811
2022-02,8.268265472629091
2022-03,9.832537792582517
2022-04,8.564634922749306
2022-05,9.234435655814178
2022-06,9.686012670434017
2022-07,8.800711092853671
2022-08,10.339678687734507
2022-09,9.745105785632434
2022-10,9.843395533665243
2022-11,9.493532487322952
2022-12,9.162718306942374
2023-01,9.426142422075193
2023-02,8.462127034543043
2023-03,9.435312002321403
2023-04,8.111051940855088
2023-05,9.60943727006496
2023-06,9.259080410544021
2023-07,8.504528900340649
2023-08,9.945570860226724
2023-09,8.92714086134714
2023-10,10.016400657639915
2023-11,8.879577385240486
2023-12,8.288128295098337
2024-01,9.420478543572967
2024-02,7.9987331851557615
2024-03,8.837748699946909
2024-04,8.370653234936407
2024-05,8.820800424050056
